Date,Mkt-RF,SMB,HML,RF
2022-03-18,6.59,-0.09,-5.52,0.001
2022-03-25,1.55,-2.45,2.19,0.001
2022-04-01,0.15,1.03,-4.17,0.003
2022-04-08,-1.92,-3.3,2.21,0.003
2022-04-14,-1.72,1.79,2.23,0.003
2022-04-22,-3.23,-0.41,2.35,0.003
2022-04-29,-3.35,-0.25,0.52,0.003
2022-05-06,-0.57,-2.11,4.81,0.007
2022-05-13,-2.44,0.21,-0.4,0.007
2022-05-20,-2.95,1.19,1.9,0.007
2022-05-27,6.62,-0.76,1.48,0.007
2022-06-03,-1.04,1.36,-0.27,0.015
2022-06-10,-5.1,0.52,0.81,0.015
2022-06-17,-5.87,-0.26,-3.09,0.015
2022-06-24,6.56,-0.01,-5.65,0.015
2022-07-01,-2.39,-1.02,3.14,0.02
2022-07-08,2.36,2.1,-5.28,0.02
2022-07-15,-1.14,-0.42,1.2,0.02
2022-07-22,2.76,1.43,-1.07,0.02
2022-07-29,4.17,-0.61,1.18,0.02
2022-08-05,0.87,3.57,-5.34,0.047
2022-08-12,3.38,0.55,1.5,0.047
2022-08-19,-1.6,-2.24,2.49,0.047
2022-08-26,-3.8,0.09,1.76,0.047
2022-09-02,-3.53,-1.68,0.59,0.048
2022-09-09,3.89,0.61,-2.8,0.048
2022-09-16,-4.78,-0.4,2.34,0.048
2022-09-23,-5.02,-1.46,0.29,0.048
2022-09-30,-2.54,1.66,-0.81,0.048
2022-10-07,1.75,0.08,2.54,0.058
2022-10-14,-1.88,-0.39,3.83,0.058
2022-10-21,4.57,-1.3,-0.45,0.058
2022-10-28,3.97,1.31,0.7,0.058
2022-11-04,-3.56,-0.84,4.55,0.074
2022-11-11,5.85,0.08,-3.31,0.074
2022-11-18,-1.0,-1.45,0.76,0.074
2022-11-25,1.41,-0.66,0.9,0.074
2022-12-02,1.22,1.13,-2.44,0.083
2022-12-09,-3.78,-1.27,-0.6,0.083
2022-12-16,-2.12,0.1,0.25,0.083
2022-12-23,-0.4,-0.88,2.9,0.083
2022-12-30,-0.13,0.33,0.08,0.083
2023-01-06,1.36,0.25,1.18,0.087
2023-01-13,3.05,3.39,-3.3,0.087
2023-01-20,-0.69,0.08,-1.11,0.087
2023-01-27,2.59,-0.05,-1.29,0.087
2023-02-03,1.82,3.59,-2.19,0.086
2023-02-10,-1.52,-3.21,2.68,0.086
2023-02-17,0.1,1.98,-1.48,0.086
2023-02-24,-2.83,-0.98,1.47,0.086
2023-03-03,1.91,0.6,-1.25,0.091
2023-03-10,-5.13,-2.68,-1.09,0.091
2023-03-17,1.1,-1.26,-7.42,0.091
2023-03-24,1.22,-1.02,0.11,0.091
2023-03-31,3.56,-0.12,-0.14,0.091
2023-04-06,-0.52,-2.67,0.96,0.087
2023-04-14,0.91,0.1,0.23,0.087
2023-04-21,-0.2,0.97,-1.31,0.087
2023-04-28,0.42,-1.71,0.09,0.087
2023-05-05,-0.78,0.9,-3.64,0.09
2023-05-12,-0.36,-0.44,-1.28,0.09
2023-05-19,1.78,0.83,0.03,0.09
2023-05-26,0.3,0.5,-1.09,0.09
2023-06-02,2.0,1.46,-0.07,0.101
2023-06-09,0.46,1.16,1.25,0.101
2023-06-16,2.42,-1.32,-1.92,0.101
2023-06-23,-1.58,-0.85,-1.25,0.101
2023-06-30,2.36,0.58,0.35,0.101
2023-07-07,-1.23,-0.42,1.34,0.112
2023-07-14,2.53,1.39,-0.74,0.112
2023-07-21,0.64,-0.02,2.45,0.112
2023-07-28,0.97,-0.03,0.96,0.112
2023-08-04,-2.27,0.71,1.65,0.113
2023-08-11,-0.61,-1.36,0.45,0.113
2023-08-18,-2.31,-0.72,-1.64,0.113
2023-08-25,0.59,-0.82,-1.68,0.113
